SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00096,EUR,0.2,1000GP,-0.0157529,0.0326992,0.0167793,0.0273094,0.0209973,0.00160634,-0.00663594,0.0510163,-0.00338701,0.024003
HG00097,EUR,0.2,1000GP,-0.0190849,0.0240466,0.0110031,0.0290464,-0.0132671,0.0322608,0.0307326,0.0446703,0.00101945,0.0166315
HG00099,EUR,0.2,1000GP,-0.00987614,0.0165659,0.00136389,0.0101847,-0.00634173,-0.0129436,-0.0111206,0.0145308,-0.00746334,-0.00635117
HG00100,EUR,0.2,1000GP,-0.0126313,0.0108423,0.018382,0.0204812,-0.0300977,0.0069413,-0.00810634,-0.00725937,-0.0120386,-0.0330298
HG00101,EUR,0.2,1000GP,-0.0154159,0.0163323,0.0214679,0.0119933,0.0118772,-0.00729061,0.014306,-0.000719554,0.0101517,-0.00518614
HG00102,EUR,0.2,1000GP,-0.00990077,0.0216562,0.0163823,0.00778914,0.0129628,0.0191159,-0.00699004,0.0139366,-0.0260068,0.0133909
HG00103,EUR,0.2,1000GP,-0.0146531,0.0307235,0.014311,0.00888445,0.00263466,0.0191376,0.01266,0.0296689,-0.0219503,-0.000167791
HG00105,EUR,0.2,1000GP,-0.0170003,0.00958615,0.0174945,0.0212781,-0.000683159,-0.00381678,0.0159828,-0.00368578,-0.00032368,-0.0237416
HG00106,EUR,0.2,1000GP,-0.0150093,0.019382,0.0253734,0.00267073,-0.035087,-0.00124347,-0.00611522,0.0156696,-0.00556947,0.00951019
HG00107,EUR,0.2,1000GP,-0.014559,0.025425,0.024078,-0.00168091,0.0071963,0.0218669,0.00296971,0.0191188,-0.0468958,0.0131074
HG00108,EUR,0.2,1000GP,-0.0198703,0.0226371,0.0233952,0.0270362,0.00590837,-0.0247297,0.00254416,-0.0299639,0.0201597,0.0179356
HG00109,EUR,0.2,1000GP,-0.0154819,0.0129463,0.00658528,0.0282299,-0.00513356,0.000532997,-0.00193354,0.00372698,-0.0245821,0.0330231
HG00110,EUR,0.2,1000GP,-0.0183412,0.0194833,0.0101777,0.011427,0.00267652,-0.00406946,-0.000806223,0.00653797,-0.00893342,-0.0333691
HG00111,EUR,0.2,1000GP,-0.0153199,0.0230894,0.011265,0.025706,0.000575583,-0.00841692,-0.0115209,0.000409183,-0.00601543,-0.00277967
HG00112,EUR,0.2,1000GP,-0.0162107,0.0164246,0.0236071,0.0257519,0.0099164,-0.0426961,-0.00580016,0.00584787,0.00169317,0.027408
HG00113,EUR,0.2,1000GP,-0.0111383,0.0145384,0.00253656,0.0180948,0.00604861,-0.00928961,0.0248507,0.0215112,-0.0124419,0.0181989
HG00114,EUR,0.2,1000GP,-0.0174526,0.0226369,0.0197816,0.0088434,-0.0153273,-0.0317805,0.0200783,0.00682815,-0.0127162,0.00517981
HG00115,EUR,0.2,1000GP,-0.0118247,0.0229262,0.0112112,0.0170634,0.0010007,-0.00466704,0.00726774,0.00701562,-0.0243205,-0.0461621
HG00116,EUR,0.2,1000GP,-0.0164829,0.0283272,0.0232654,0.0091498,0.0200871,0.00984465,-0.0117061,0.00573476,-3.49E-05,0.0187794
HG00117,EUR,0.2,1000GP,-0.018582,0.0197082,0.00883252,0.00612875,0.0129652,0.0106819,-0.0318565,0.0102958,0.00423805,-0.0136324
HG00118,EUR,0.2,1000GP,-0.0197952,0.0355243,0.00677578,0.0182456,0.00953429,0.011761,-0.0102679,0.0369364,0.00145684,0.0199177
HG00119,EUR,0.2,1000GP,-0.0141829,0.0195881,0.0041754,0.0259531,-0.00805155,-0.000436973,0.0205489,0.0162988,-0.00684424,-0.0209129
HG00120,EUR,0.2,1000GP,-0.00935115,0.0241561,-0.0032826,-0.00213781,0.0185408,-0.0013687,0.00894964,-0.0486852,-0.0198825,-0.0128899
HG00121,EUR,0.2,1000GP,-0.00687463,0.0204244,0.0122574,0.0199728,0.00609529,0.0198645,-0.0338015,0.0358568,-0.0121892,-0.00668058
HG00122,EUR,0.2,1000GP,-0.0110707,0.0289076,-0.00496429,0.00550936,-0.0122042,0.0127013,0.017768,-0.0274654,0.0214659,-0.0228748
HG00123,EUR,0.2,1000GP,-0.0151866,0.0211662,0.0161074,0.0317391,-0.00265497,-0.00755725,0.00452962,0.00417874,-0.000633709,-0.0312905
HG00125,EUR,0.2,1000GP,-0.0206939,0.020625,-0.000617267,0.0248273,-0.00643525,0.0110631,-0.0183998,-0.00851409,-0.0158241,-0.00219742
HG00126,EUR,0.2,1000GP,-0.0199007,0.0226391,0.00681257,0.0165998,0.0326068,-0.00494026,-0.0151345,0.0240677,-0.000361983,-0.0152937
HG00127,EUR,0.2,1000GP,-0.0199982,0.0250211,0.013127,0.00282529,0.00438702,-0.00222093,-0.02697,-0.000383225,-0.0247561,0.00521779
HG00128,EUR,0.2,1000GP,-0.0188173,0.0227344,0.0211757,0.00417037,0.0200131,-0.00272025,0.0216246,-0.0133351,-0.00272604,-0.00166187
HG00129,EUR,0.2,1000GP,-0.0131525,0.0246218,-0.0081633,0.0225474,0.000484111,-0.0139284,0.0133425,-0.00633704,-0.0153916,0.0223507
HG00130,EUR,0.2,1000GP,-0.0129803,0.0110593,0.0111106,0.0244527,-0.00698895,-0.0237577,-0.00605605,0.0170078,-0.040317,-0.00808027
HG00131,EUR,0.2,1000GP,-0.0167709,0.0204234,0.0146438,0.00587856,-0.0102241,0.0207183,-0.00232771,-0.0138693,-0.00408234,0.024144
