NAME	AF	DEPTH	NUMBER	Sensitivity
novaseq_chr22_100X_.01	1	100	299	0.0299
novaseq_chr22_100X_.02	2	100	1653	0.1653
novaseq_chr22_100X_.03	3	100	3443	0.3443
novaseq_chr22_100X_.04	4	100	5031	0.5031
novaseq_chr22_100X_.05	5	100	6122	0.6122
novaseq_chr22_100X_.10	10	100	7474	0.7474
novaseq_chr22_100X_.15	15	100	7522	0.7522
novaseq_chr22_100X_.20	20	100	7526	0.7526
novaseq_chr22_100X_.25	25	100	7526	0.7526
novaseq_chr22_100X_.50	50	100	7508	0.7508
novaseq_chr22_200X_.01	1	200	1201	0.1201
novaseq_chr22_200X_.02	2	200	4441	0.4441
novaseq_chr22_200X_.03	3	200	6470	0.647
novaseq_chr22_200X_.04	4	200	7215	0.7215
novaseq_chr22_200X_.05	5	200	7445	0.7445
novaseq_chr22_200X_.10	10	200	7524	0.7524
novaseq_chr22_200X_.15	15	200	7525	0.7525
novaseq_chr22_200X_.20	20	200	7526	0.7526
novaseq_chr22_200X_.25	25	200	7526	0.7526
novaseq_chr22_200X_.50	50	200	7506	0.7506
novaseq_chr22_300X_.01	1	300	2190	0.219
novaseq_chr22_300X_.02	2	300	5944	0.5944
novaseq_chr22_300X_.03	3	300	7226	0.7226
novaseq_chr22_300X_.04	4	300	7445	0.7445
novaseq_chr22_300X_.05	5	300	7502	0.7502
novaseq_chr22_300X_.10	10	300	7522	0.7522
novaseq_chr22_300X_.15	15	300	7524	0.7524
novaseq_chr22_300X_.20	20	300	7525	0.7525
novaseq_chr22_300X_.25	25	300	7526	0.7526
novaseq_chr22_300X_.50	50	300	7503	0.7503
novaseq_chr22_400X_.01	1	400	2848	0.2848
novaseq_chr22_400X_.02	2	400	6588	0.6588
novaseq_chr22_400X_.03	3	400	7379	0.7379
novaseq_chr22_400X_.04	4	400	7484	0.7484
novaseq_chr22_400X_.05	5	400	7504	0.7504
novaseq_chr22_400X_.10	10	400	7512	0.7512
novaseq_chr22_400X_.15	15	400	7519	0.7519
novaseq_chr22_400X_.20	20	400	7524	0.7524
novaseq_chr22_400X_.25	25	400	7525	0.7525
novaseq_chr22_400X_.50	50	400	7502	0.7502
novaseq_chr22_500X_.01	1	500	3577	0.3577
novaseq_chr22_500X_.02	2	500	6921	0.6921
novaseq_chr22_500X_.03	3	500	7434	0.7434
novaseq_chr22_500X_.04	4	500	7494	0.7494
novaseq_chr22_500X_.05	5	500	7504	0.7504
novaseq_chr22_500X_.10	10	500	7506	0.7506
novaseq_chr22_500X_.15	15	500	7518	0.7518
novaseq_chr22_500X_.20	20	500	7524	0.7524
novaseq_chr22_500X_.25	25	500	7525	0.7525
novaseq_chr22_500X_.50	50	500	7499	0.7499
novaseq_chr22_50X_.01	1	50	114	0.0114
novaseq_chr22_50X_.02	2	50	619	0.0619
novaseq_chr22_50X_.03	3	50	1531	0.1531
novaseq_chr22_50X_.04	4	50	2551	0.2551
novaseq_chr22_50X_.05	5	50	3509	0.3509
novaseq_chr22_50X_.10	10	50	6678	0.6678
novaseq_chr22_50X_.15	15	50	7401	0.7401
novaseq_chr22_50X_.20	20	50	7499	0.7499
novaseq_chr22_50X_.25	25	50	7509	0.7509
novaseq_chr22_50X_.50	50	50	7507	0.7507
